rating_diff_bin,match_result,rows,prop
<= -300,A,2801,0.6934884872493191
<= -300,D,759,0.187917801435999
<= -300,H,479,0.11859371131468185
-300 to -151,A,2560,0.4567350579839429
-300 to -151,D,1582,0.2822479928635147
-300 to -151,H,1463,0.26101694915254237
-150 to -51,A,1688,0.32549170844581565
-150 to -51,D,1540,0.2969533359043579
-150 to -51,H,1958,0.37755495564982644
-50 to 49,A,1430,0.24591573516766982
-50 to 49,D,1619,0.2784178847807395
-50 to 49,H,2766,0.47566638005159073
50 to 149,A,947,0.17221312965993818
50 to 149,D,1390,0.2527732314966358
50 to 149,H,3162,0.575013638843426
150 to 299,A,587,0.09848993288590605
150 to 299,D,1140,0.1912751677852349
150 to 299,H,4233,0.7102348993288591
>= 300,A,178,0.03836206896551724
>= 300,D,465,0.10021551724137931
>= 300,H,3997,0.8614224137931035
