year,matches,neutral_rate
1908,30,0.1
1909,22,0.045454545454545456
1910,30,0.03333333333333333
1911,35,0
1912,53,0.24528301886792453
1913,38,0.02631578947368421
1914,33,0.030303030303030304
1916,29,0.10344827586206896
1917,27,0.14814814814814814
1919,50,0.24
1920,54,0.3333333333333333
1921,60,0.1
1922,73,0.0821917808219178
1923,94,0.05319148936170213
1924,110,0.24545454545454545
1925,87,0.05747126436781609
1926,88,0.06818181818181818
1927,82,0.04878048780487805
1928,99,0.23232323232323232
1929,84,0.047619047619047616
1930,115,0.20869565217391303
1931,100,0.05
1932,93,0.07526881720430108
1933,95,0.06315789473684211
1934,111,0.17117117117117117
1935,119,0.15126050420168066
1936,85,0.03529411764705882
1937,121,0.11570247933884298
1938,152,0.23684210526315788
1939,88,0.09090909090909091
1940,57,0.017543859649122806
1941,52,0.25
1942,57,0.2982456140350877
1943,35,0.17142857142857143
1944,30,0.23333333333333334
1945,65,0.23076923076923078
1946,115,0.33043478260869563
1947,141,0.19858156028368795
1948,128,0.140625
1949,153,0.20915032679738563
1950,135,0.17777777777777778
1951,106,0.08490566037735849
1952,118,0.16101694915254236
1953,179,0.2122905027932961
1954,168,0.25595238095238093
1955,153,0.1895424836601307
1956,196,0.1836734693877551
1957,221,0.17647058823529413
1958,188,0.31382978723404253
1959,187,0.27807486631016043
1960,218,0.22477064220183487
1961,233,0.23605150214592274
1962,246,0.23577235772357724
1963,315,0.33650793650793653
1964,189,0.15873015873015872
1965,359,0.2395543175487465
1966,353,0.34560906515580736
1967,370,0.25405405405405407
1968,308,0.20454545454545456
1969,380,0.2
1970,349,0.3438395415472779
1971,408,0.26715686274509803
1972,419,0.3317422434367542
1973,488,0.2807377049180328
1974,382,0.3298429319371728
1975,397,0.23173803526448364
1976,400,0.23
1977,455,0.14945054945054945
1978,391,0.3248081841432225
1979,444,0.24324324324324326
1980,509,0.2180746561886051
1981,500,0.23
1982,420,0.3904761904761905
1983,465,0.16989247311827957
1984,542,0.2859778597785978
1985,601,0.1713810316139767
1986,429,0.37995337995337997
1987,395,0.22278481012658227
1988,541,0.32162661737523107
1989,623,0.21187800963081863
1990,482,0.3070539419087137
1991,508,0.2854330708661417
1992,600,0.20333333333333334
1993,795,0.2880503144654088
1994,609,0.33497536945812806
1995,669,0.24663677130044842
1996,837,0.23536439665471923
1997,907,0.20948180815876516
1998,761,0.35216819973718794
1999,776,0.2706185567010309
2000,1040,0.23653846153846153
2001,1032,0.2131782945736434
2002,768,0.3125
2003,947,0.23020063357972545
2004,1079,0.24189063948100092
2005,804,0.22139303482587064
2006,842,0.34323040380047504
2007,988,0.2692307692307692
2008,1101,0.23251589464123523
2009,925,0.2594594594594595
2010,863,0.3522595596755504
2011,1119,0.256478999106345
2012,1025,0.3151219512195122
2013,963,0.26064382139148495
2014,856,0.3107476635514019
2015,1039,0.2829643888354187
2016,920,0.24456521739130435
2017,924,0.2813852813852814
2018,929,0.2938643702906351
2019,1149,0.3020017406440383
2020,347,0.11815561959654179
2021,1115,0.31928251121076234
2022,969,0.391124871001032
2023,1054,0.29886148007590135
2024,1231,0.3704305442729488
2025,1002,0.3013972055888224
2026,165,0.45454545454545453
