feature_1,feature_2,correlation
rating_diff,rating_diff,1
away_rating_pre_match,away_rating_pre_match,1
rating_age_days_away,rating_age_days_away,1
home_rating_pre_match,home_rating_pre_match,1
rating_age_days_home,rating_age_days_home,1
season,season,1
home_rating_pre_match,away_rating_pre_match,0.5446089980487621
away_rating_pre_match,home_rating_pre_match,0.5446089980487621
away_rating_pre_match,rating_diff,-0.5025330622625959
rating_diff,away_rating_pre_match,-0.5025330622625959
home_rating_pre_match,rating_diff,0.45141217816042223
rating_diff,home_rating_pre_match,0.45141217816042223
rating_age_days_home,rating_age_days_away,0.22832256752925348
rating_age_days_away,rating_age_days_home,0.22832256752925348
season,away_rating_pre_match,-0.21176326353678346
away_rating_pre_match,season,-0.21176326353678346
season,home_rating_pre_match,-0.18349602572822696
home_rating_pre_match,season,-0.18349602572822696
rating_age_days_away,away_rating_pre_match,-0.10905366718417067
away_rating_pre_match,rating_age_days_away,-0.10905366718417067
season,rating_age_days_home,-0.09211969777546386
rating_age_days_home,season,-0.09211969777546386
rating_age_days_home,home_rating_pre_match,-0.07357476716958117
home_rating_pre_match,rating_age_days_home,-0.07357476716958117
season,rating_age_days_away,-0.06928008566727256
rating_age_days_away,season,-0.06928008566727256
rating_age_days_away,rating_diff,0.0563716902762359
rating_diff,rating_age_days_away,0.0563716902762359
home_rating_pre_match,rating_age_days_away,-0.047543497899357745
rating_age_days_away,home_rating_pre_match,-0.047543497899357745
season,rating_diff,0.03809908152499385
rating_diff,season,0.03809908152499385
rating_age_days_home,rating_diff,-0.03594340414723515
rating_diff,rating_age_days_home,-0.03594340414723515
rating_age_days_home,away_rating_pre_match,-0.02471505535772383
away_rating_pre_match,rating_age_days_home,-0.02471505535772383
