feature,outcome,n,mean,median,sd
away_rating_pre_match,H,23315,1456.5291443276626,1479,300.6912908967248
away_rating_pre_match,D,11037,1570.9120231947045,1579,262.15563296399984
away_rating_pre_match,A,13522,1618.3048365626369,1632,267.70374618686776
home_rating_pre_match,H,23495,1594.7776122579307,1607,268.4766941377619
home_rating_pre_match,D,11002,1546.4636429740037,1554,264.0942397550399
home_rating_pre_match,A,13387,1444.816463733462,1461,296.6802284110473
rating_age_days_away,H,23315,73.92279648295366,14,346.23902090391783
rating_age_days_away,D,11037,50.90069765334725,14,179.32957260626986
rating_age_days_away,A,13522,53.821106345213,10,241.25951587791488
rating_age_days_home,H,23495,57.705979995739014,14,235.6892110959505
rating_age_days_home,D,11002,52.82403199418245,14,199.9955515653635
rating_age_days_home,A,13387,70.96825278254597,14,319.62893653054823
rating_diff,H,23102,140.4308284996936,130,240.23800524267122
rating_diff,D,10944,-23.871893274853175,-23,207.9758367671754
rating_diff,A,13268,-176.0078384081996,-163,242.8045516234172
season,H,24130,1993.070866141734,2000,25.76385524038934
season,D,11202,1995.5882878057519,2001,23.379681681362563
season,A,13925,1993.3352962297981,2000,26.24762954496213
