split,model,feature_set,class,precision,recall,f1,support
validation,multinom,baseline_rating,H,0.6029554734590706,0.8779728199320498,0.71492795389049,3532
validation,multinom,baseline_rating,D,0,0,0,1738
validation,multinom,baseline_rating,A,0.5518028297581014,0.5857558139534884,0.5682726204465336,2064
test,multinom,baseline_rating,H,0.6012008522177029,0.8901634642959564,0.7176878612716763,3487
test,multinom,baseline_rating,D,0,0,0,1732
test,multinom,baseline_rating,A,0.5916253939666817,0.6069284064665127,0.5991792065663475,2165
validation,glmnet_multinomial_ridge,baseline_rating,H,0.5996164908916587,0.8853340883352209,0.7149879958843032,3532
validation,glmnet_multinomial_ridge,baseline_rating,D,0,0,0,1738
validation,glmnet_multinomial_ridge,baseline_rating,A,0.559226050023596,0.5741279069767442,0.5665790102797036,2064
test,glmnet_multinomial_ridge,baseline_rating,H,0.5975586496280755,0.898480068827072,0.7177548682703322,3487
test,glmnet_multinomial_ridge,baseline_rating,D,0,0,0,1732
test,glmnet_multinomial_ridge,baseline_rating,A,0.5987856141989725,0.5921478060046189,0.595448211797492,2165
validation,lightgbm,baseline_rating,H,0.6030594234163561,0.8706115515288788,0.7125477928397635,3532
validation,lightgbm,baseline_rating,D,0,0,0,1738
validation,lightgbm,baseline_rating,A,0.5395973154362416,0.5843023255813954,0.5610607117934403,2064
test,lightgbm,baseline_rating,H,0.6026141240733516,0.8858617722971035,0.7172878207360968,3487
test,lightgbm,baseline_rating,D,0,0,0,1732
test,lightgbm,baseline_rating,A,0.5850310008857396,0.6101616628175519,0.5973321275152611,2165
validation,multinom,rating_plus_context,H,0.600426108851443,0.8776896942242356,0.7130534790109258,3532
validation,multinom,rating_plus_context,D,0,0,0,1738
validation,multinom,rating_plus_context,A,0.549607752653438,0.5770348837209303,0.5629874734105413,2064
test,multinom,rating_plus_context,H,0.6003835091083414,0.8979065098938916,0.7196046885773385,3487
test,multinom,rating_plus_context,D,0.5,0.00115473441108545,0.00230414746543778,1732
test,multinom,rating_plus_context,A,0.5958429561200924,0.5958429561200924,0.5958429561200924,2165
validation,glmnet_multinomial_ridge,rating_plus_context,H,0.5971374045801526,0.8859003397508494,0.7134062927496579,3532
validation,glmnet_multinomial_ridge,rating_plus_context,D,0,0,0,1738
validation,glmnet_multinomial_ridge,rating_plus_context,A,0.5585284280936454,0.5663759689922481,0.5624248255953813,2064
test,glmnet_multinomial_ridge,rating_plus_context,H,0.5945030120481928,0.9056495554918268,0.7178088419138539,3487
test,glmnet_multinomial_ridge,rating_plus_context,D,0,0,0,1732
test,glmnet_multinomial_ridge,rating_plus_context,A,0.6072463768115942,0.5806004618937645,0.5936245572609209,2165
validation,lightgbm,rating_plus_context,H,0.6045828437132785,0.8740090600226501,0.7147487844408429,3532
validation,lightgbm,rating_plus_context,D,0.05555555555555555,5.753739930955121e-4,0.00113895216400911,1738
validation,lightgbm,rating_plus_context,A,0.5457013574660633,0.5843023255813954,0.5643425362657931,2064
test,lightgbm,rating_plus_context,H,0.6009671179883946,0.891023802695727,0.7178006237726696,3487
test,lightgbm,rating_plus_context,D,0.2,5.773672055427252e-4,0.00115141047783534,1732
test,lightgbm,rating_plus_context,A,0.590312358533273,0.6023094688221708,0.5962505715592136,2165
validation,multinom,rating_plus_form,H,0.6156358440498061,0.853907134767837,0.7154548689360694,3532
validation,multinom,rating_plus_form,D,0.3017241379310345,0.04027617951668585,0.07106598984771574,1738
validation,multinom,rating_plus_form,A,0.5533363595097595,0.5906007751937985,0.5713616123740334,2064
test,multinom,rating_plus_form,H,0.6193508627773213,0.8646400917694294,0.7217235188509875,3487
test,multinom,rating_plus_form,D,0.32075471698113206,0.04907621247113164,0.08512769153730596,1732
test,multinom,rating_plus_form,A,0.5855175477565526,0.6087759815242494,0.5969202898550725,2165
validation,glmnet_multinomial_ridge,rating_plus_form,H,0.6084529505582137,0.8640996602491506,0.71408516612073,3532
validation,glmnet_multinomial_ridge,rating_plus_form,D,0.27976190476190477,0.02704257767548907,0.04931794333683106,1738
validation,glmnet_multinomial_ridge,rating_plus_form,A,0.5534883720930233,0.5765503875968992,0.5647840531561462,2064
test,glmnet_multinomial_ridge,rating_plus_form,H,0.6148267526188558,0.8752509320332664,0.7222813868181281,3487
test,glmnet_multinomial_ridge,rating_plus_form,D,0.31313131313131315,0.03579676674364896,0.06424870466321245,1732
test,glmnet_multinomial_ridge,rating_plus_form,A,0.5877587758775877,0.6032332563510393,0.5953954866651471,2165
validation,lightgbm,rating_plus_form,H,0.6156838656838657,0.8513590033975085,0.7145912547528517,3532
validation,lightgbm,rating_plus_form,D,0.2914572864321608,0.0333716915995397,0.05988642230252968,1738
validation,lightgbm,rating_plus_form,A,0.5486450466459352,0.5983527131782945,0.5724217844727695,2064
test,lightgbm,rating_plus_form,H,0.618230124667893,0.8675078864353313,0.7219570405727925,3487
test,lightgbm,rating_plus_form,D,0.4055944055944056,0.03348729792147806,0.06186666666666667,1732
test,lightgbm,rating_plus_form,A,0.5813458262350937,0.6304849884526559,0.6049191225348991,2165
validation,multinom,rating_plus_form_plus_goalscorers,H,0.6158399673402736,0.8541902604756512,0.7156920887201993,3532
validation,multinom,rating_plus_form_plus_goalscorers,D,0.3225806451612903,0.04602991944764097,0.08056394763343405,1738
validation,multinom,rating_plus_form_plus_goalscorers,A,0.5555555555555556,0.5886627906976745,0.5716302046577276,2064
test,multinom,rating_plus_form_plus_goalscorers,H,0.6200082338410868,0.8637797533696587,0.7218693828639904,3487
test,multinom,rating_plus_form_plus_goalscorers,D,0.3284132841328413,0.05138568129330254,0.08886669995007487,1732
test,multinom,rating_plus_form_plus_goalscorers,A,0.5827050997782706,0.6069284064665127,0.5945701357466064,2165
validation,glmnet_multinomial_ridge,rating_plus_form_plus_goalscorers,H,0.6094061379035473,0.8657984144960362,0.7153216374269005,3532
validation,glmnet_multinomial_ridge,rating_plus_form_plus_goalscorers,D,0.27647058823529413,0.02704257767548907,0.04926624737945493,1738
validation,glmnet_multinomial_ridge,rating_plus_form_plus_goalscorers,A,0.5535880708294502,0.5755813953488372,0.5643705463182898,2064
test,glmnet_multinomial_ridge,rating_plus_form_plus_goalscorers,H,0.6129227053140096,0.8732434757671351,0.7202838557066825,3487
test,glmnet_multinomial_ridge,rating_plus_form_plus_goalscorers,D,0.31840796019900497,0.03695150115473441,0.066218313502328,1732
test,glmnet_multinomial_ridge,rating_plus_form_plus_goalscorers,A,0.5891647855530474,0.6027713625866051,0.595890410958904,2165
validation,lightgbm,rating_plus_form_plus_goalscorers,H,0.615605749486653,0.8488108720271801,0.7136396096167579,3532
validation,lightgbm,rating_plus_form_plus_goalscorers,D,0.2966507177033493,0.03567318757192175,0.06368772470467386,1738
validation,lightgbm,rating_plus_form_plus_goalscorers,A,0.5476718403547672,0.5983527131782945,0.5718916415837,2064
test,lightgbm,rating_plus_form_plus_goalscorers,H,0.6187256709690637,0.8660739891023803,0.7217973231357553,3487
test,lightgbm,rating_plus_form_plus_goalscorers,D,0.380952380952381,0.03233256351039261,0.05960617349654072,1732
test,lightgbm,rating_plus_form_plus_goalscorers,A,0.5814940577249575,0.6327944572748267,0.606060606060606,2165
