feature_variant,model,split,class,tp,fp,fn,tn,precision,recall,f1
baseline_safe,multinom,validation,H,3096,2111,435,1724,0.594584213558671,0.8768054375531011,0.7086289768825819
baseline_safe,multinom,validation,D,0,0,1748,5618,0,0,0
baseline_safe,multinom,validation,A,1194,965,893,4314,0.5530338119499768,0.5721130809774796,0.5624116815826661
baseline_safe,multinom,test,H,3197,2106,376,1882,0.6028663020931548,0.8947663028267562,0.7203695358269492
baseline_safe,multinom,test,D,0,0,1784,5777,0,0,0
baseline_safe,multinom,test,A,1333,925,871,4432,0.5903454384410983,0.6048094373865699,0.5974899148363962
baseline_safe,glmnet_multinomial_ridge,validation,H,3127,2161,404,1674,0.591338880484115,0.8855848201642594,0.7091506973579771
baseline_safe,glmnet_multinomial_ridge,validation,D,0,0,1748,5618,0,0,0
baseline_safe,glmnet_multinomial_ridge,validation,A,1165,913,922,4366,0.5606352261790183,0.5582175371346431,0.5594237695078031
baseline_safe,glmnet_multinomial_ridge,test,H,3209,2164,364,1824,0.5972454866927229,0.8981248250769661,0.7174156047395485
baseline_safe,glmnet_multinomial_ridge,test,D,0,0,1784,5777,0,0,0
baseline_safe,glmnet_multinomial_ridge,test,A,1301,887,903,4470,0.5946069469835467,0.5902903811252269,0.592440801457195
baseline_safe,lightgbm,validation,H,3088,2061,443,1774,0.5997281025441833,0.8745397904276409,0.7115207373271889
baseline_safe,lightgbm,validation,D,7,4,1741,5614,0.6363636363636364,0.004004576659038902,0.007959067652075043
baseline_safe,lightgbm,validation,A,1220,986,867,4293,0.5530371713508613,0.584571154767609,0.5683671092476125
baseline_safe,lightgbm,test,H,3172,2113,401,1875,0.6001892147587512,0.8877693814721522,0.7161887559268458
baseline_safe,lightgbm,test,D,0,7,1784,5770,0,0,0
baseline_safe,lightgbm,test,A,1312,957,892,4400,0.5782282944028206,0.5952813067150635,0.5866308964900515
safe_plus_form_compact,multinom,validation,H,3114,2117,417,1718,0.5952972662970751,0.8819031435853866,0.7107966217758502
safe_plus_form_compact,multinom,validation,D,0,9,1748,5609,0,0,0
safe_plus_form_compact,multinom,validation,A,1186,940,901,4339,0.5578551269990593,0.5682798275035936,0.5630192262046048
safe_plus_form_compact,multinom,test,H,3197,2113,376,1875,0.6020715630885123,0.8947663028267562,0.719801868738039
safe_plus_form_compact,multinom,test,D,3,4,1781,5773,0.42857142857142855,0.0016816143497757848,0.003350083752093803
safe_plus_form_compact,multinom,test,A,1330,914,874,4443,0.5926916221033868,0.603448275862069,0.5980215827338129
safe_plus_form_compact,glmnet_multinomial_ridge,validation,H,3136,2190,395,1645,0.588809613218175,0.88813367318040215,0.7081404538782884
safe_plus_form_compact,glmnet_multinomial_ridge,validation,D,0,3,1748,5615,0,0,0
safe_plus_form_compact,glmnet_multinomial_ridge,validation,A,1150,887,937,4392,0.5645557191948944,0.5510301868711068,0.5577109602327838
safe_plus_form_compact,glmnet_multinomial_ridge,test,H,3217,2176,356,1812,0.5965139996291489,0.9003638399104394,0.7175998215480704
safe_plus_form_compact,glmnet_multinomial_ridge,test,D,1,1,1783,5776,0.5,5.605381165919282e-4,0.0011198208286674132
safe_plus_form_compact,glmnet_multinomial_ridge,test,A,1290,876,914,4481,0.5955678670360111,0.5852994555353902,0.5903890160183066
safe_plus_form_compact,lightgbm,validation,H,3084,2053,447,1782,0.6003503990656025,0.8734069668649108,0.7115828334102445
safe_plus_form_compact,lightgbm,validation,D,18,23,1730,5595,0.43902439024390244,0.010297482837528604,0.020122973728339853
safe_plus_form_compact,lightgbm,validation,A,1214,974,873,4305,0.5548446069469836,0.5816962146621946,0.5679532163742691
safe_plus_form_compact,lightgbm,test,H,3169,2094,404,1894,0.6021280638419153,0.8869297509095998,0.7172928927116343
safe_plus_form_compact,lightgbm,test,D,2,19,1782,5758,0.09523809523809523,0.0011210762331838565,0.00221606648199446
safe_plus_form_compact,lightgbm,test,A,1328,949,876,4408,0.5832235397452789,0.6025408348457351,0.5927248382057576
safe_plus_form_draw,multinom,validation,H,3098,2111,433,1724,0.5947398732962181,0.8773718493344661,0.7089244851258583
safe_plus_form_draw,multinom,validation,D,0,7,1748,5611,0,0,0
safe_plus_form_draw,multinom,validation,A,1190,960,897,4319,0.5534883720930233,0.5701964542405367,0.561718196837385
safe_plus_form_draw,multinom,test,H,3192,2106,381,1882,0.6024915062287656,0.8933669185558354,0.7196482921880284
safe_plus_form_draw,multinom,test,D,3,1,1781,5776,0.75,0.0016816143497757848,0.0033557046979865775
safe_plus_form_draw,multinom,test,A,1329,930,875,4427,0.5883134130146083,0.602994555353902,0.5955635222944208
safe_plus_form_draw,glmnet_multinomial_ridge,validation,H,3129,2162,402,1673,0.5913815913815914,0.8861512319456245,0.7093629562457493
safe_plus_form_draw,glmnet_multinomial_ridge,validation,D,0,4,1748,5614,0,0,0
safe_plus_form_draw,glmnet_multinomial_ridge,validation,A,1163,908,924,4371,0.5615644616127474,0.5572592237661715,0.5594035594035593
safe_plus_form_draw,glmnet_multinomial_ridge,test,H,3207,2164,366,1824,0.5970955129398622,0.8975650713685979,0.717128801431127
safe_plus_form_draw,glmnet_multinomial_ridge,test,D,2,1,1782,5776,0.6666666666666666,0.0011210762331838565,0.002238388360380526
safe_plus_form_draw,glmnet_multinomial_ridge,test,A,1298,889,906,4468,0.5935070873342478,0.588929219600726,0.5912092917330903
safe_plus_form_draw,lightgbm,validation,H,3089,2068,442,1767,0.598991661818887,0.8748229963183234,0.7110957642725598
safe_plus_form_draw,lightgbm,validation,D,12,10,1736,5608,0.5454545454545454,0.006864988558352402,0.013559322033898305
safe_plus_form_draw,lightgbm,validation,A,1218,969,869,4310,0.5569272976680384,0.5836128413991375,0.5699578848853533
safe_plus_form_draw,lightgbm,test,H,3181,2111,392,1877,0.6010959939531368,0.8902882731598096,0.7176536943034405
safe_plus_form_draw,lightgbm,test,D,3,7,1781,5770,0.3,0.0016816143497757848,0.003344481605351171
safe_plus_form_draw,lightgbm,test,A,1311,948,893,4409,0.5803452855245684,0.5948275862068966,0.5874971991933676
