class,probability_bin,model_family,config_id,feature_variant,split,mean_predicted_probability,observed_frequency,n
H,1,lightgbm,slower_small,safe_plus_form_compact,test,0.0522476714347396,0.02912621359223301,412
H,2,lightgbm,slower_small,safe_plus_form_compact,test,0.15007101275437768,0.12546125461254612,542
H,3,lightgbm,slower_small,safe_plus_form_compact,test,0.25415968670180417,0.208955223880597,804
H,4,lightgbm,slower_small,safe_plus_form_compact,test,0.3518054974210608,0.31010452961672474,861
H,5,lightgbm,slower_small,safe_plus_form_compact,test,0.4525260069960505,0.427394438722966,971
H,6,lightgbm,slower_small,safe_plus_form_compact,test,0.5494160573237102,0.4874715261958998,878
H,7,lightgbm,slower_small,safe_plus_form_compact,test,0.6513703170703662,0.5899122807017544,912
H,8,lightgbm,slower_small,safe_plus_form_compact,test,0.7463437448156214,0.71625,800
H,9,lightgbm,slower_small,safe_plus_form_compact,test,0.849718026136675,0.8323262839879154,662
H,10,lightgbm,slower_small,safe_plus_form_compact,test,0.9422112516993674,0.9217002237136466,447
D,1,lightgbm,slower_small,safe_plus_form_compact,test,0.05961657759085773,0.0784313725490196,816
D,2,lightgbm,slower_small,safe_plus_form_compact,test,0.15463300998518464,0.17141126589945488,1651
D,3,lightgbm,slower_small,safe_plus_form_compact,test,0.25852147906440914,0.28517397881996975,3966
D,4,lightgbm,slower_small,safe_plus_form_compact,test,0.3142992017565376,0.28738317757009346,856
A,1,lightgbm,slower_small,safe_plus_form_compact,test,0.05071077904828693,0.05175117616309462,1913
A,2,lightgbm,slower_small,safe_plus_form_compact,test,0.1433756321332159,0.15930388219544847,1494
A,3,lightgbm,slower_small,safe_plus_form_compact,test,0.24476441752181613,0.280067283431455,1189
A,4,lightgbm,slower_small,safe_plus_form_compact,test,0.34952683057631995,0.37946943483275664,867
A,5,lightgbm,slower_small,safe_plus_form_compact,test,0.4453319212526078,0.4568081991215227,683
A,6,lightgbm,slower_small,safe_plus_form_compact,test,0.5501960975447471,0.5804878048780487,410
A,7,lightgbm,slower_small,safe_plus_form_compact,test,0.6475649680628897,0.7010309278350515,291
A,8,lightgbm,slower_small,safe_plus_form_compact,test,0.750158709069262,0.7804878048780488,205
A,9,lightgbm,slower_small,safe_plus_form_compact,test,0.8501275708938788,0.9101796407185628,167
A,10,lightgbm,slower_small,safe_plus_form_compact,test,0.9256080536599585,0.9714285714285714,70
